input_utterance,num_duplicates
Terminate i-a541 now,1
Search for cooking videos,1
Find most popular photos tagged #LOVE,0
Search for a few nice photos matching Opera House with size 1024px * 768px,0
Are the burglar alarms in the office malfunctioning ?,2
Is the TV in the house off ?,0
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,0
Are there any cheap hotels for 7-day stay somewhere near Riverside,0
Send an email to Phil telling her that ''I got you'',0
Give me 5 conference articles about text mining,0
I am looking for the latest scientific article related to Machine Learning,0
Create a comment saying ''Best Voice Ever'',0
Jump to the previous song,1
Skip to the next song,1
Where can I upgrade my laptop ?,1
Could you offer three barbershops in Newtown,0
Let me have top three convenience stores near Newtown,0
I want reviews for McDonald's at Kensington st.,0
How far is the closest cab,2
Request a taxi from the airport to home,0
what is the forecast for colder in Anston,0
How hot is it in Pesotum,1
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",0
Book a taverna in Equatorial Guinea this month for nine people.,0
Book a table for eight people please,1
Please add Ruud Jolie to my playlist Guest List Polygon,2
add this artist named Kirk Hammett to my playlist Party,1
I want to put a copy of this tune into Skatepark Punks,1
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",0
Rate this album two out of 6,0
Give the current part of the saga 4 points out of 6.,0
Can you play some fifties music by lavern baker,0
Play a 1964 track from Shahram Nazeri on Pandora.,0
Please play me some Satire music,0
When is Crime and Punishment U.S.A. showing?,0
find Fox Theatres with The Caretaker,0
I would like to watch The Wedding Ring at the movie theatre,0
I want to read the book The Lion Sleeps Tonight,0
Where can I buy a used copy of the game called I Lie Around?,0
please give me the cheapest flight from denver to pittsburgh,0
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,0
what is the lowest fare from denver to pittsburgh,1
what is the cheapest one way fare from boston to baltimore,0
what is the ground transportation from oakland to san francisco,0
can i get a rental car in dallas,2
what airlines fly between boston and atlanta,0
show me the airlines between boston and denver,0
what does ls stand for,0
what does dfw mean,0
What is the forecast for Harrison-Crawford State Forest,0
find Join the Dots: B-sides and Rarities,0
Total number of duplicates in taboo_pattern,18
