seed_id,number_unique_template_bootstrap,taboo_pattern,taboo_pattern-novel
1,6,11,8
2,4,7,3
3,7,5,2
4,8,16,12
5,8,16,12
6,10,19,14
7,10,19,15
8,14,16,8
9,20,24,21
10,11,19,13
11,12,16,11
12,3,7,5
13,4,8,6
14,4,12,9
15,16,13,4
16,11,18,10
17,13,17,11
18,12,19,12
19,9,15,9
20,14,21,19
22,16,17,11
23,6,17,12
24,12,21,15
25,10,21,17
26,11,13,6
27,7,17,10
28,7,18,16
29,10,10,5
30,14,19,15
31,14,18,10
32,5,20,19
33,8,18,13
34,14,22,17
35,11,19,14
36,10,17,11
37,6,13,9
38,16,16,10
39,12,18,13
41,15,17,9
42,12,18,12
43,21,22,18
44,9,13,11
45,13,18,13
46,11,15,12
47,10,13,6
48,12,15,14
49,6,17,13
50,15,21,18
51,16,21,13
21,13,17,9
40,2,8,7
